"_time",ENTRY
"2022-01-25T11:28:00.000-0800","T109 NO ATO doors S50-1, ""311"" issued. [C1259]."
"2022-01-25T10:42:00.000-0800","T219 no release at A10-2, issued R/M to A05K. (206) seconds late."
"2022-01-25T10:37:00.000-0800","T315 BPD hold M30-1, smoking. (9)"
"2022-01-25T10:11:00.000-0800","(ref 0841) T221 behind T120 causing T221 to be delayed (409) seconds."
"2022-01-25T10:00:00.000-0800","T221 dispatched (271) seconds late, late T/O board up."
"2022-01-25T09:55:00.000-0800","(ref 0841) T120/121 OOS at S50-2, road manual on right side back to OHY for leaner."
"2022-01-25T09:55:00.000-0800","(ref 0954) T107 released ATO, (151) seconds late."
"2022-01-25T09:54:00.000-0800","T107 BPD hold M20-2, disturbance. (8)"
"2022-01-25T09:32:00.000-0800","T123 NO ATO doors A70-1, ""311"" issued. [C408]."
"2022-01-25T09:12:00.000-0800","(ref 0908) T213 ATO, (443) second delay."
"2022-01-25T09:08:00.000-0800","T213 Door open S40-2, C4107 em-handle activated. T/O troubleshooting, Tango advised."
"2022-01-25T09:04:00.000-0800","(ref 0902) T105 released ATO, (218) second delay."
"2022-01-25T09:02:00.000-0800","T105 BPD hold M16-1. welfare check. (7)"
"2022-01-25T08:53:00.000-0800","(ref 0849) T207 released ATO, (124) second delay."
"2022-01-25T08:49:00.000-0800","T207 BPD hold A50-2, mask violation. (6)"
"2022-01-25T08:48:00.000-0800","(ref 0835) T513 released ATO, no delay on train."
"2022-01-25T08:41:00.000-0800","T121 per Tango, left side leaner, road manual all stations with left side platform. Train will be OOS at EOL."
"2022-01-25T08:40:00.000-0800","QOL Sweep M16-2 until 1000. BPD will released the trains at the station platform. 5-10 minute delays. (5)"
"2022-01-25T08:35:00.000-0800","T513 BPD hold L30-1, indecent exposure. (4)"
"2022-01-25T07:46:00.000-0800","NYMS bypass activated A75 delaying T225 (369) and T207 (251) seconds."
"2022-01-25T07:45:00.000-0800","(ref 0733) T513 released ATO, (157) second delay."
"2022-01-25T07:33:00.000-0800","T513 BPD hold M90-1, welfare check. (3)"
"2022-01-25T07:07:00.000-0800","(ref 0703) T317 released ATO, (177) second delay."
"2022-01-25T07:07:00.000-0800","T123 OOS at S50-1 due to 1 car having graffiti. C1543, BPD advised. Graffiti report filed and faxed to OHY."
"2022-01-25T07:03:00.000-0800","T317 BPD hold C40-2, mask violation. (2)"
"2022-01-25T07:00:00.000-0800","E-Line Docs, General Track bulletin, ECC daily log and ECC Daily Ops report."
"2022-01-25T06:25:00.000-0800","T311 delayed (135) seconds into C40-2 due to C45AB route dropped out and needed to regenerate. Now (372) seconds late."
"2022-01-25T06:00:00.000-0800","Medic 16 and Medic 10 checked in."
"2022-01-25T06:00:00.000-0800","T311 dispatched (207) seconds late due waiting for meet with eBART."
"2022-01-25T05:40:00.000-0800","BPD QoL sweeps at M16-2 until 0700, delays expected. (1)"
"2022-01-25T05:14:00.000-0800","TBT daily track inspection completed by T511, good for ATO."
"2022-01-25T04:32:00.000-0800","A78 daily track inspection completed by T105, good for ATO."
"2022-01-25T04:24:00.000-0800","GEALOC's reset."
"2022-01-31T23:55:00.000-0800","(ref 2349) Earthquake Drill concluded."
"2022-01-31T23:49:00.000-0800","Earthquake Drill initiated. ECC and OAC advised."
"2022-01-31T23:45:00.000-0800","T511 L30-2, no ATO doors , 311. Lead unit is C343."
"2022-01-31T23:34:00.000-0800","(ref 2241) T313 (5) minutes late arriving M16-1, delayed for late trains through the single tracking from the earlier BPD hold at A10-2."
"2022-01-31T23:27:00.000-0800","(ref 2241) T219 (4) minutes late departing ORY, late in/out due to earlier BPD hold at A10."
"2022-01-31T23:27:00.000-0800","(ref 2241) T517 (8) minutes late departing M90-1, late in/out due to earlier BPD hold. ODY had no personnel available to dispatch a replacement train."
"2022-01-31T23:27:00.000-0800","SA at M30 clear of work orders, Item has been retrieved. All trains released back to ATO. T301 is now (3) minutes late."
"2022-01-31T23:26:00.000-0800","SA at M30 issued cat B work orders for the M2 track at M30 to retrieve an item from the trackway. Trains holding out on both sides."
"2022-01-31T23:18:00.000-0800","K30 is staffed again."
"2022-01-31T23:14:00.000-0800","(ref 2241) T211 and 911 courtesy meet at A50 to transfer passengers."
"2022-01-31T23:13:00.000-0800","(ref 2241) T323/723 (8.5) minutes late, residual delay from late 517 coming through the single tracking."
"2022-01-31T23:10:00.000-0800","T507 L30-2, no ATO doors, 311. Lead unit is C367."
"2022-01-31T23:08:00.000-0800","(ref 2300) T319 released ATO, now (10) minutes late."
"2022-01-31T23:03:00.000-0800","(ref 2242) TPA on T515 for earlier BPD hold at M90."
"2022-01-31T23:00:00.000-0800","T319 BPD hold at C20-1 for a welfare check. (24)"
"2022-01-31T22:58:00.000-0800","(ref 2242) T515 released ATO, now (11) minutes late."
"2022-01-31T22:53:00.000-0800","(ref 2241) T219 released ATO, now (12) minutes late, BPD removed a subject from the train, residual delay to T517(13.5) minutes, T211 (4) minutes late, T511 (11) minutes late. TPA's made."
"2022-01-31T22:51:00.000-0800","(ref 2241) BPD is now doing a welfare check on the train, subject passed out in the lead unit of T219."
"2022-01-31T22:48:00.000-0800","(ref 2241) BPD is on the platform at A10. T219 instructed to reopen the doors."
"2022-01-31T22:47:00.000-0800","(ref 2241) T219 holding at A20-2 instructed to hold with doors closed now. TPA's made on trains holding out at other platforms."
"2022-01-31T22:42:00.000-0800","T515 BPD hold at M90-1 for a welfare check. (23)"
"2022-01-31T22:41:00.000-0800","T219 holding A10-2 for report of someone brandishing a knife on C1506. Trains holding out on both sides. (22)"
"2022-01-31T22:27:00.000-0800","T211 stopped their train approaching R50-2, reports a subject was climbing out of the trackway as T211 was on the approach. Subject is clear of the trackway, operator is repositioning in for a door cycle. BPD advised. T211 is ATO, now (2) minutes late."
"2022-01-31T21:26:00.000-0800","T319 W10-1 door open. self cleared. Train is (390) seconds late."
"2022-01-31T21:23:00.000-0800","(ref 2119) Switch 23 at S45 now in reverse. ROC had to put up the last route through S24 and then cancel the route and re attempt the correct route.  T215 departing S50-1 (181) seconds late."
"2022-01-31T21:19:00.000-0800","Switch 23 at S45 will not move in reverse. ROC is attempting to move the switch."
"2022-01-31T21:10:00.000-0800","(ref 2104) R20 released ATO. T205 departing R10-1 (311) seconds late. T225 arriving R20-2 (382) seconds late. TPA made."
"2022-01-31T21:08:00.000-0800","TBT10 Cat B WO M2 track MP 3.0-M16, TBT retrofit project. Single tracking 5-10 minute delays."
"2022-01-31T21:04:00.000-0800","Trains holding out of R20, person with an unknown weapon. (21)"
"2022-01-31T20:58:00.000-0800","(ref 2054) T313 (267) seconds late."
"2022-01-31T20:54:00.000-0800","W39 switch 91 out of correspondence. T313 delayed arriving W40-3. Train will be brought into W40-1 instead. Passengers moving from platform 3 to platform 1."
"2022-01-31T20:47:00.000-0800","(ref 2036) TBT17 clear of Cat B WO at A15XL. T503 departing A20-2 (447) seconds late. T205 arriving A20-2 (332) seconds late."
"2022-01-31T20:47:00.000-0800","(ref 2040) T325 C80-1 release, (671) second delay."
"2022-01-31T20:40:00.000-0800","(ref 2036) Switch 21 at A15XL will not move in reverse. TBT17 will have to crank themselves out of A15 Spur. X FW advised."
"2022-01-31T20:40:00.000-0800","T325 C80-1 BPD hold, disturbance. Patron banging on cab door. (20)"
"2022-01-31T20:36:00.000-0800","TBT17 Cat B WO A15XL, EO. Train holds."
"2022-01-31T20:00:00.000-0800","(ref 1500) Medic10 and Medic16 on duty."
"2022-01-31T19:28:00.000-0800","(ref 1851) T36 clear of Cat B WO L15XL."
"2022-01-31T19:14:00.000-0800","(ref 1855) T419 R60-2 (187) seconds late."
"2022-01-31T18:58:00.000-0800","Y10A  GEALOC unhealthy, trains holding. ROC selecting Y10B GEALOC. Up to 3-minute delays."
"2022-01-31T18:55:00.000-0800","T419 R60-1 door open, c1220 doors 5/7 EM handle pulled."
"2022-01-31T18:51:00.000-0800","T36 Cat B WO L15XL, track inspections. 5-10 minute delays."
"2022-01-31T18:45:00.000-0800","(ref 1844) T301 M30-1 release, (100) second delay."
"2022-01-31T18:44:00.000-0800","T301 M30-1 BPD hold, disturbance. (19)"
"2022-01-31T17:54:00.000-0800","(ref 1750) T421 Y10-3 release, (66) second delay."
"2022-01-31T17:53:00.000-0800","(ref 1750) T419 W40-3 ATO, (226) seconds late. TPA made."
"2022-01-31T17:53:00.000-0800","T409 will be hole UFN, staffing."
"2022-01-31T17:50:00.000-0800","T419 W40-3 9800 SET, TO troubleshooting."
"2022-01-31T17:50:00.000-0800","T421 Y10-3 BPD hold, drug use. (18)"
"2022-01-31T17:42:00.000-0800","T123 M90-1 (287) second delay. TM FW advising TO."
"2022-01-31T17:26:00.000-0800","(ref 1724) T303 C20-1 release, (189) second delay."
"2022-01-31T17:24:00.000-0800","T303 C20-1 BPPD hold, smoking. (17)"
"2022-01-31T17:17:00.000-0800","(ref 1640) T36 clear of Cat B WO L35XL."
"2022-01-31T17:03:00.000-0800","T215 R40-2 ATO, (393) second delay.  EM handle pulled door 5 c4063. TPA made."
"2022-01-31T16:57:00.000-0800","T215 (FOTF) R40-2 EM handle pulled c4063. TO heading back to normalize door."
"2022-01-31T16:45:00.000-0800","T319 (159) seconds late. Train extended 2 minutes to make the meet with eBART."
"2022-01-31T16:40:00.000-0800","T36 Cat B WO L35XL, track inspections."
"2022-01-31T16:30:00.000-0800","(ref 1628) M40 released  ATO per BPD."
"2022-01-31T16:28:00.000-0800","BPD reports person in the track at M40. T505 and T309 will perform a RM track inspection into M40-1 and T405 and T113 will RM track inspect the M2 track. 3-6 minute delays."
"2022-01-31T16:08:00.000-0800","(ref 1608) SA at M20 clear of Cat B WO. Trains released."
"2022-01-31T16:08:00.000-0800","SA at M20 Cat B WO M2 t M20 to retrieve a basketball. Train holds for protection."
"2022-01-31T16:02:00.000-0800","(ref 1557) T315 C60-1 release, (414) second delay.  TPA made."
"2022-01-31T16:01:00.000-0800","Milpitas unstaffed."
"2022-01-31T15:57:00.000-0800","T315 C60-1 BPD hold, welfare check."
"2022-01-31T15:51:00.000-0800","(ref 1551) RIDS drill terminated."
"2022-01-31T15:47:00.000-0800","RIDS drill initiated."
"2022-01-31T15:22:00.000-0800","(ref 1519) T109 A10-2 release, (233) second delay."
"2022-01-31T15:19:00.000-0800","T109 A10-2 BPD hold, suspicious person. (16)"
"2022-01-31T15:00:00.000-0800","Medic10 and Medic16 on duty."
"2022-01-31T14:08:00.000-0800","S50 TM zone unstaffed."
"2022-01-31T14:00:00.000-0800","T313 reports coyote or fox M3 track at MP 15.94. Clear for ATO, along the running rail."
"2022-01-31T13:48:00.000-0800","(ref 1344) T515 ATO, (332) seconds late."
"2022-01-31T13:47:00.000-0800","Transfer trip AXBD01 will not close in. Trains are ATO in the area, crews are en route."
"2022-01-31T13:44:00.000-0800","T515 at A40-1 clearing a 9700 SET. Tango advised."
"2022-01-31T13:41:00.000-0800","(ref 1337) T109 released ATO, (240) second delay."
"2022-01-31T13:37:00.000-0800","T109 BPD hold A50-1, welfare check. (15)"
"2022-01-31T13:32:00.000-0800","M16 unstaffed for cleaning."
"2022-01-31T13:30:00.000-0800","(ref 1314) M90 TM Zone Staffed."
"2022-01-31T13:25:00.000-0800","(ref 1323) T515 ATO, (160) second delay. Slow closer."
"2022-01-31T13:23:00.000-0800","T515 Door open M10-2, Tango advised. T/O troubleshooting."
"2022-01-31T13:20:00.000-0800","T725 BPD hold M10-2, disturbance. (14)"
"2022-01-31T13:14:00.000-0800","M90 TM Zone unstaffed."
"2022-01-31T12:56:00.000-0800","(ref 1254) RIDS drill terminated,."
"2022-01-31T12:54:00.000-0800","RIDS drill activated."
"2022-01-31T12:22:00.000-0800","(ref 1211) T515 released ATO, (89) second delay."
"2022-01-31T12:18:00.000-0800","(ref 1209) T325 released ATO, (165) second delay."
"2022-01-31T12:11:00.000-0800","T515 BPD hold A20-2, mask violation. (13)"
"2022-01-31T12:09:00.000-0800","T325 BPD hold M90-3, mask violation. (12)"
"2022-01-31T12:00:00.000-0800","Y10 TM zone unstaffed."
"2022-01-31T11:55:00.000-0800","T407 No door indications on the right hand side. Tango advised, no releases."
"2022-01-31T11:50:00.000-0800","(ref 1145) T407 released ATO, (387) second delay."
"2022-01-31T11:45:00.000-0800","T407 BPD hold R50-2, indecent exposure. (11)"
"2022-01-31T11:44:00.000-0800","Y10A Gealoc unhealthy, resetting it. T319 (417) seconds late."
"2022-01-31T11:33:00.000-0800","(ref 1131) FD notified of fire."
"2022-01-31T11:32:00.000-0800","(ref 1056) TPA made on all affected trains."
"2022-01-31T11:31:00.000-0800","OL01 reports fire on UP tracks, no affecting ATO but some smoke in the area. Individual lighting stuff on fire on UP tracks."
"2022-01-31T11:31:00.000-0800","(ref 1104) T201 released ATO, (813) second delay. Secondary delay, T507 (756) seconds late."
"2022-01-31T11:27:00.000-0800","(ref 1119) T313 released ATO, (92) second delay."
"2022-01-31T11:19:00.000-0800","T313 BPD hold M90-2, mask violation. (10)"
"2022-01-31T11:14:00.000-0800","(ref 1056) T103 verified A2 track clear for ATO, (517) seconds late."
"2022-01-31T11:13:00.000-0800","(ref 1056) T103 performing visual inspection to verify individual did not leave anything in the trackway."
"2022-01-31T11:11:00.000-0800","T417 hole W40-R60 due to staffing, TM FW trying to get it filled for the 1417 dispatch."
"2022-01-31T11:10:00.000-0800","(ref 1056) A80 released ATO. T103 (467) and T203 (400) seconds late."
"2022-01-31T11:06:00.000-0800","(ref 1056) Per BPD hold out of A80. (9)"
"2022-01-31T11:04:00.000-0800","T201 BPD hold A20-2, welfare check. (8)"
"2022-01-31T11:03:00.000-0800","(ref 1056) Individual back on platform. A2 track powered back up. Trains to do visual track inspections."
"2022-01-31T11:00:00.000-0800","(ref 1056) 3rd rail power dropped on the A2 track. Individual walking on the A2 track now."
"2022-01-31T10:56:00.000-0800","T201 departing A80-2, reports individual wayside on the A1 track around milepost 20.4. Next trains to inspect."
"2022-01-31T10:17:00.000-0800","(ref 1013) T117 released ATO, (220) second delay. Secondary delays, T217 (140) and T519 (134) seconds late."
"2022-01-31T10:16:00.000-0800","(ref 1013) T117 reports individual is fine, no medical needed."
"2022-01-31T10:13:00.000-0800","T117 approaching A20-2, reports individual passed out. BPD advised, T/O going to investigate."
"2022-01-31T10:08:00.000-0800","T205 (325) seconds late into A10-1 due to merging T507 ahead at A10. T507 was delayed due to BPD QOL sweeps at M16."
"2022-01-31T10:06:00.000-0800","T405 dispatched (217) seconds late due to late T/O making their own turn."
"2022-01-31T10:00:00.000-0800","T407 501 at W40-3, dispatched (278) seconds late."
"2022-01-31T09:50:00.000-0800","T109 NO ATO doors M90-1, ""311"" issued. [C408]."
"2022-01-31T09:47:00.000-0800","T311 BPD hold K30-4, mask violation. (7)"
"2022-01-31T09:09:00.000-0800","T315 PSF C20-1, manual procedures. (163) seconds late."
"2022-01-31T09:07:00.000-0800","(ref 0856) T307 released ATO, (343) second delay."
"2022-01-31T09:06:00.000-0800","T513 NO ATO doors L30-2, ""311"" issued. [C316]."
"2022-01-31T08:56:00.000-0800","T307 BPD hold C50-2, fight. (6)"
"2022-01-31T08:55:00.000-0800","T411 PSF R50-1, continued on per procedure. TPA made."
"2022-01-31T08:41:00.000-0800","T413 BPD hold K20-1, littering. (5)"
"2022-01-31T08:40:00.000-0800","QOL sweeps M16-2 until 1000. BPD will release trains on the platform. 5-10 minute delays. (4)"
"2022-01-31T08:20:00.000-0800","(ref 0748) Per Tango T215 hold intact. OHY has no replacement at this time."
"2022-01-31T07:52:00.000-0800","(ref 0748) T305 ATO, (328) seconds late."
"2022-01-31T07:51:00.000-0800","(ref 0748) T215 ATO, (198) second delay. Per Tango, unknown car, possible hold intact."
"2022-01-31T07:48:00.000-0800","T215 BOIP on RTF02, Tango advised, T/O troubleshooting."
"2022-01-31T07:48:00.000-0800","T305 PSF K30-3, manual procedures. Tango advised."
"2022-01-31T07:41:00.000-0800","(ref 0733) T115 dispatched (261) seconds late M90-1 due to late in/out."
"2022-01-31T07:40:00.000-0800","(ref 0734) T215 ATO, (347) seconds late. Unknown car, self clear."
"2022-01-31T07:38:00.000-0800","(ref 0726) T319 released ATO, (84) second delay."
"2022-01-31T07:34:00.000-0800","T215 Door open R50-1, Tango advised. T/O to troubleshoot."
"2022-01-31T07:33:00.000-0800","T115 took a long door dwell at M70-1 due to helping passenger transferring to SFIA train. (316) seconds late."
"2022-01-31T07:30:00.000-0800","(ref 0724) T317 released ATO, (67) second delay. Now (135) seconds late."
"2022-01-31T07:26:00.000-0800","T319 BPD hold K30-4, disturbance."
"2022-01-31T07:24:00.000-0800","T317 BPD hold K10-2, mask violation. (3)"
"2022-01-31T07:24:00.000-0800","T317 PSF K30-4, manual procedures."
"2022-01-31T07:23:00.000-0800","COVID TPA. (Will be done every 15 minutes till EOR)."
"2022-01-31T07:22:00.000-0800","(ref 0709) T219 released ATO, (540) second delay."
"2022-01-31T07:18:00.000-0800","(ref 0707) SAM40 canceled Cat B work orders."
"2022-01-31T07:17:00.000-0800","(ref 0707) SAM40 issued Cat B work orders for M40-2 to retrieve foil. Power on, train holds."
"2022-01-31T07:12:00.000-0800","(ref 0707) M2 en route."
"2022-01-31T07:11:00.000-0800","(ref 0707) T507 issued R/M to inspect for aluminum foil."
"2022-01-31T07:09:00.000-0800","T219 BPD hold A70-2, suspicious person. (2)"
"2022-01-31T07:09:00.000-0800","(ref 0707) S/A en route."
"2022-01-31T07:07:00.000-0800","T109 reports roll of aluminum foil M40-2, not affecting ATO, but needs to retrieved."
"2022-01-31T06:59:00.000-0800","(ref 0658) T205 ATO, passenger holding door open. (115) second delay."
"2022-01-31T06:58:00.000-0800","T205 Door open K20-2, Tango advised."
"2022-01-31T06:50:00.000-0800","(ref 0644) T105 ATO, (526) second delay. Secondary delay, T503 (330) and T325 (545) seconds late. Cleared on its own, possible hold intact."
"2022-01-31T06:48:00.000-0800","T313 BPD hold K30-4, welfare check. (1)"
"2022-01-31T06:48:00.000-0800","T403 is a hole from W40/R60 UFN due to staffing shortages starting at 0648."
"2022-01-31T06:47:00.000-0800","(ref 0644) M/L tech boarded up on train."
"2022-01-31T06:44:00.000-0800","T105 BOIP departing M16-2. Tango advised, T/O troubleshooting."
"2022-01-31T06:26:00.000-0800","T301 is a hole from Y10/C80 RT UFN due to staffing shortages."
"2022-01-31T06:18:00.000-0800","T423 is a hole from W40/R60 RT for 1 loop, staffing shortage."
"2022-01-31T06:15:00.000-0800","T115 dispatched (222) seconds late due to late T/O board up."
"2022-01-29T02:33:00.000-0800","EOR."
"2022-01-29T02:26:00.000-0800","R-Line Blanket established. C-Line Blanket established."
"2022-01-29T02:25:00.000-0800","M-Line Blanket established."
"2022-01-29T02:15:00.000-0800","(ref 2145) T203 released ATO. Compounded delay (38) minutes late."
"2022-01-29T02:12:00.000-0800","A Line Blanket established."
"2022-01-29T02:02:00.000-0800","Core Line Blanket established."
"2022-01-29T02:00:00.000-0800","T203 BPD hold at A90-1 for a sweep. (28)"
"2022-01-29T01:47:00.000-0800","T203 no ATO doors at A50-1, 311. Lead unit is C350."
"2022-01-29T01:26:00.000-0800","(ref 2145) Delay update made for final trains."
"2022-01-29T01:25:00.000-0800","(ref 2145) Grand meet completed at K30, final trains have been released for the evening."
"2022-01-29T01:21:00.000-0800","T503 door open at A50-2. Tango advised. Operator will troubleshoot while changing ends."
"2022-01-29T01:03:00.000-0800","(ref 2145) TPA for late Grand Meet."
"2022-01-29T00:46:00.000-0800","(ref 0027) T211 is back in ATO. (25) minutes late. TPA made."
"2022-01-29T00:45:00.000-0800","(ref 0027) T211 now has a door open. heading back to troubleshoot, EM handle was activated."
"2022-01-29T00:42:00.000-0800","(ref 0027) T211 checked the train, unable to find any issues. Now doing a 20 second aux cycle. TPA."
"2022-01-29T00:39:00.000-0800","(ref 0032) T319 released ATO, now (3.5) minutes late."
"2022-01-29T00:39:00.000-0800","(ref 2145) T323 (24) minutes late departing C88 Transfer, late in/out no spare available."
"2022-01-29T00:36:00.000-0800","T319 BPD Hold at M40-1 for a welfare check. (27)"
"2022-01-29T00:34:00.000-0800","(ref 0027) T211 is still troubleshooting at A70-2."
"2022-01-29T00:30:00.000-0800","SOFO requesting BPD assistance to close R60, C80, C70 and C40."
"2022-01-29T00:29:00.000-0800","(ref 2145) T723 OOS train balancing from Y10 to OCY."
"2022-01-29T00:27:00.000-0800","T211 at A70-1, has a brake on, clears in road manual, unable to go ATO. Tango advised, lead unit is 358, troubleshooting with the operator."
"2022-01-29T00:26:00.000-0800","(ref 0026) T317 released ATO, now (9) minutes late."
"2022-01-29T00:25:00.000-0800","T317 BPD hold at M90-3 for a disturbance."
"2022-01-29T00:20:00.000-0800","(ref 2145) T211 and T200 doing an operator swap at A70."
"2022-01-29T00:16:00.000-0800","(ref 2145) Final SFIA train will be late departing C88. Personnel shortages. unable to get a spare dispatched . Trains delayed due to Traction Power issues at K30."
"2022-01-29T00:11:00.000-0800","DMZ1 & consist standing by MW02 for early out."
"2022-01-29T00:11:00.000-0800","DMZ8 & consist standing by MW02 for an early out."
"2022-01-29T00:10:00.000-0800","C40 is unstaffed. BPD advised."
"2022-01-29T00:06:00.000-0800","(ref 2145) T207 and T625 extending at A60 for an operator swap. Both trains were also delayed for a track inspection into A60 due to a earlier platform trip. Trackways are clear for ATO."
"2022-01-28T23:58:00.000-0800","(ref 2145) T203 extending at K30-1 for a courtesy meet."
"2022-01-28T23:56:00.000-0800","(ref 2145) T301 released ATO, now (9) minutes late. T301 is now T323, will be in/out as the final Airport train from C88."
"2022-01-28T23:54:00.000-0800","T301 BPD hold at K20-1 for a disturbance."
"2022-01-28T23:53:00.000-0800","(ref 2349) T200 and T203 released ATO."
"2022-01-28T23:50:00.000-0800","SA at A60 visually inspected the platforms at A60, trackways are clear. Trip pin re-inserted. Tracks re-energized."
"2022-01-28T23:49:00.000-0800","(ref 2145) T200 and T203 BPD holds at K20 for passenger service. (26)"
"2022-01-28T23:48:00.000-0800","Platform Trip at A60. SA heading up with their radio and a trip pin."
"2022-01-28T23:41:00.000-0800","(ref 2145) CP8 clear of work orders. Power support has control of KYG and KYC. Comm changed some blown fuses and restored indications and control to breakers at KYG and KYC. Service restoration in progress at  K30."
"2022-01-28T23:37:00.000-0800","(ref 2145) Construction power 8 is in KYC."
"2022-01-28T23:33:00.000-0800","T507 A40-2, no ATO doors, 311."
"2022-01-28T23:32:00.000-0800","(ref 2145) T953 R10-2 issued road manual track inspection from R10 to K30 to check power status."
"2022-01-28T23:23:00.000-0800","(ref 2145) CP8 has cat b work orders for K35XL to access substation KYC."
"2022-01-28T23:16:00.000-0800","(ref 2145) T723 and 625 will be turning back at K20 to SFIA and S50."
"2022-01-28T23:15:00.000-0800","(ref 2145) SA at K20 reports the AC transit buses are not stopping at K20. AC Transit dispatch confirmed that the buses did not stop because they were full. 3 more buses are being added for the mutual aid at K20 ASAP."
"2022-01-28T23:12:00.000-0800","(ref 2145) T211 turned back at R30-2 as T200 back to Richmond."
"2022-01-28T22:57:00.000-0800","(ref 2253) Power12 clear of work orders."
"2022-01-28T22:56:00.000-0800","(ref 2145) All rails are KMA are hot, per power 12."
"2022-01-28T22:53:00.000-0800","(ref 2145) Power12 issued cat B work orders for K30 all tracks to probe the 3rd rail."
"2022-01-28T22:51:00.000-0800","(ref 2145) T719/319 and T619/219 turning back at K20 to Y10/S50."
"2022-01-28T22:42:00.000-0800","(ref 2145) T709 turning back at C10-2 to C88 due to power issues at K30."
"2022-01-28T22:32:00.000-0800","(ref 2145) T215/615 turning back in service from K20 to S50."
"2022-01-28T22:29:00.000-0800","(ref 2225) T319 released ATO, now released ATO, now (1.5) minutes late."
"2022-01-28T22:28:00.000-0800","(ref 2145) 48 Volt DC panel shorted out at KMA.  Troubleshooting an issue with the 1000 volt DC breakers, H1 & H2 racked out at KMA to secure the station."
"2022-01-28T22:26:00.000-0800","(ref 2145) T717 turned back at K20-3 to SFIA due to power issues at K35XL."
"2022-01-28T22:25:00.000-0800","T319 BPD Hold at M30-2 for drug usage. (25)"
"2022-01-28T22:20:00.000-0800","(ref 2145) Power12 has just arrived at KMA."
"2022-01-28T22:17:00.000-0800","(ref 2145) T705 ATO back to C88 from C10-2."
"2022-01-28T22:17:00.000-0800","(ref 2145) Traction Power is short staffed. Unable to send additional crews to KYG and KYC. KYG and KYC are both non-indicating."
"2022-01-28T22:15:00.000-0800","(ref 2145) Fire Dept. is on scene at KMA."
"2022-01-28T22:14:00.000-0800","(ref 2145) Mutual aid approved on 51A from K20 to C10, and 72 Bus from K20 to R60. T305/705 turning back at C10-2 to C88. No service currently between K20 R30 and C10."
"2022-01-28T22:13:00.000-0800","(ref 2145) T202 ATO back to R60 from R30. Train is reverse running from R30-1 and will cross back over at R45 for normal running into R50."
"2022-01-28T22:08:00.000-0800","(ref 2145) Currently no train service between K20 R30 and C10. Mutual Aid requested on AC Transit."
"2022-01-28T22:07:00.000-0800","(ref 2145) T313/300 is ATO on the SFIA end. Fire dept in route to KMA. T305 will turn back C10-2 to C88."
"2022-01-28T22:06:00.000-0800","(ref 2145) T211/200 is ATO back to S50. T313 is still changing ends. T203/953 is swept and auxed off at R10-2."
"2022-01-28T22:05:00.000-0800","(ref 2145) Power42 at KMA reports lots of smoke in the substation, no visible flames. Fire dept. advised & responding."
"2022-01-28T22:04:00.000-0800","(ref 2145) T207 now 202 holding at R30-2. Trains holding K20 are turning back to SFIA and S50."
"2022-01-28T21:45:00.000-0800","TPA's made."
"2022-01-28T21:45:00.000-0800","KMA tripped offline. K35 powered off. T203 reporting cold rail at R10-2.  Trains holding at K20, T313 and T211."
"2022-01-28T21:25:00.000-0800","T323 BPD hold M10-1 for disturbance, released ATO (190) seconds late. (24)"
"2022-01-28T21:20:00.000-0800","(ref 2108) T309 released ATO (616) nothing found. T517 (560) seconds late."
"2022-01-28T21:08:00.000-0800","T309 BPD hold M10-2 for someone lighting a suitcase on fire. FD has been advised, operator is going back. (23)"
"2022-01-28T21:05:00.000-0800","(ref 2100) T305 released ATO (497) seconds late."
"2022-01-28T21:00:00.000-0800","T305 BPD hold C30-1 for person lighting a cigar. (22)"
"2022-01-28T20:48:00.000-0800","W45 ATO down, cannot see trains at W40 platforms but still getting routes. TC advised."
"2022-01-28T20:00:00.000-0800","Medic 10 Medic 16 off duty."
"2022-01-28T19:48:00.000-0800","T215 made own turn (116) seconds late."
"2022-01-28T19:36:00.000-0800","(ref 1926) T909 released to ATO (445) seconds late."
"2022-01-28T19:33:00.000-0800","(ref 1931) T317 c415 something lodged in door, (292) seconds late."
"2022-01-28T19:31:00.000-0800","T317 door open C70-1."
"2022-01-28T19:30:00.000-0800","(ref 1926) BPD on scene."
"2022-01-28T19:27:00.000-0800","(ref 1926) Per BPD T323 released to ATO and authorized to run thru M30-2. T909 continues to hold."
"2022-01-28T19:26:00.000-0800","T909/T323 BPD hold M30 for theft. (21)"
"2022-01-28T19:04:00.000-0800","(ref 1851) T103 released ATO (660) seconds late."
"2022-01-28T18:55:00.000-0800","(ref 1850) T217 released ATO (380) seconds late."
"2022-01-28T18:51:00.000-0800","T103 BPD hold A50-1 for disturbance. (20)"
"2022-01-28T18:50:00.000-0800","T217 BPD hold A90-2 for fare evader. (19)"
"2022-01-28T18:16:00.000-0800","(ref 1812) T317 released ATO (87) seconds late."
"2022-01-28T18:12:00.000-0800","T317 BPD hold W30-2 for welfare check. (18)"
"2022-01-28T17:55:00.000-0800","T305 BPD C40-1 for drugs, released ATO (401) seconds late. (17)"
"2022-01-28T17:00:00.000-0800","(ref 1510) Hole on T321 C88-Y10 due to delay mitigation. T721 turnback C60 as T323."
"2022-01-28T17:00:00.000-0800","(ref 1648) T111 released ATO (1319) seconds late."
"2022-01-28T16:51:00.000-0800","T419 turning back M60 for delay mitigation."
